,regiao,estado,cidade,drones
2442,Sudeste,SP,Guaraçaí,2
2443,Sudeste,MG,Quartel Geral,2
2444,Nordeste,BA,Palmas de Monte Alto,1
2445,Sul,PR,Sertanópolis,4
2446,Sudeste,MG,Lambari,4
2447,Sudeste,SP,Catiguá,1
2448,Nordeste,BA,Tanque Novo,2
2449,Sudeste,MG,Inhaúma,4
2450,Sul,SC,Pinheiro Preto,1
2451,Sudeste,MG,São Joaquim de Bicas,1
2452,Centro-Oeste,GO,Abadia de Goiás,2
2453,Nordeste,PE,Vertentes,2
2454,Sudeste,MG,Dionísio,1
2455,Sudeste,MG,Pouso Alto,1
2456,Sudeste,SP,Guarani D'Oeste,1
2457,Sudeste,SP,Anhembi,5
2458,Nordeste,BA,Riachão das Neves,1
2459,Sudeste,MG,Cachoeira da Prata,1
2460,Centro-Oeste,GO,Interlândia,1
2461,Sudeste,SP,Ribeirão do Sul,1
2462,Nordeste,BA,Paripiranga,5
2463,Centro-Oeste,GO,Urutaí,1
2464,Sudeste,MG,Pirapetinga,1
2465,Nordeste,CE,Trairi,2
2466,Sudeste,MG,Juruaia,3
2467,Sul,PR,Quatro Pontes,2
2468,Sul,RS,Águas Claras,1
2469,Nordeste,BA,Lençóis,2
2470,Centro-Oeste,GO,Teresina de Goiás,1
2471,Centro-Oeste,MT,Alto Garças,1
2472,Sudeste,SP,Paulicéia,1
2473,Sudeste,MG,Estiva,1
2474,Sul,SC,Witmarsum,2
2475,Sul,PR,Marilena,1
2476,Nordeste,PE,Camutanga,1
2477,Sudeste,MG,Fortuna de Minas,1
2478,Norte,TO,Arapoema,2
2479,Nordeste,CE,Aurora,1
2480,Centro-Oeste,GO,Água Fria de Goiás,1
2481,Sul,SC,Lacerdópolis,1
2482,Sul,RS,São Pedro do Sul,1
2483,Centro-Oeste,GO,Aurilândia,1
2484,Sudeste,SP,Flórida Paulista,1
2485,Centro-Oeste,MT,Jaciara,3
2486,Centro-Oeste,GO,Jardim ABC de Goiás,2
2487,Sudeste,SP,Palmeiras de São Paulo,1
2488,Norte,RO,Mutum Paraná,2
2489,Nordeste,PI,Beneditinos,1
2490,Sul,PR,Uraí,1
2491,Norte,TO,Guaraí,2
2492,Sudeste,RJ,Pureza,2
2493,Sudeste,MG,Carmópolis de Minas,4
2494,Sul,PR,Mandirituba,1
2495,Sudeste,ES,Marilândia,1
2496,Nordeste,SE,Ribeirópolis,1
2497,Sul,PR,Diamante do Norte,1
2498,Sudeste,SP,Rifaina,1
2499,Sudeste,ES,Itapemirim,4
2500,Sul,RS,Ciríaco,1
2501,Nordeste,PB,Mãe D'Água,1
2502,Nordeste,MA,Alto Alegre do Pindaré,2
2503,Nordeste,CE,Icaraí,1
2504,Sudeste,MG,Arapuá,2
2505,Centro-Oeste,MT,Santa Carmem,3
2506,Sul,SC,Iporã do Oeste,2
2507,Sudeste,MG,Barroso,2
2508,Nordeste,RN,Messias Targino,1
2509,Sudeste,MG,Costas,1
2510,Sudeste,SP,Nossa Senhora do Remédio,1
2511,Nordeste,AL,Maragogi,1
2512,Nordeste,BA,Quixabeira,1
2513,Nordeste,BA,Nordestina,1
2514,Nordeste,BA,Mutuípe,2
2515,Sudeste,MG,Presidente Olegário,6
2516,Nordeste,PB,Capim,1
2517,Sudeste,MG,Rio Pomba,2
2518,Sul,RS,Ibiaçá,3
2519,Nordeste,PE,São José da Coroa Grande,4
2520,Sudeste,MG,Açucena,3
2521,Nordeste,MA,Matinha,1
2522,Sul,PR,Tamarana,2
2523,Sul,PR,Céu Azul,1
2524,Nordeste,BA,Itiúba,1
2525,Sudeste,ES,Laranja da Terra,3
2526,Sul,PR,São Jorge do Ivaí,1
2527,Nordeste,BA,Ibirapuã,1
2528,Nordeste,PI,Bocaina,3
2529,Sudeste,SP,Bernardino de Campos,1
2530,Sudeste,SP,Promissão,5
2531,Sul,PR,Maripá,2
2532,Centro-Oeste,GO,Araçu,1
2533,Centro-Oeste,MS,Porto Murtinho,1
2534,Sul,RS,Terra de Areia,2
2535,Norte,AM,Rio Preto da Eva,1
2536,Sudeste,SP,Quatá,1
2537,Sul,RS,Sananduva,1
2538,Sul,SC,Maracajá,2
2539,Nordeste,PB,Jericó,1
2540,Nordeste,BA,Boa Nova,2
2541,Nordeste,RN,Baía Formosa,1
2542,Sudeste,SP,Martinópolis,2
2543,Sul,SC,Rio Fortuna,2
2544,Sudeste,MG,São João Nepomuceno,7
2545,Sudeste,MG,Monte Belo,1
2546,Nordeste,MA,Zé Doca,2
2547,Sul,RS,Ipê,1
2548,Nordeste,BA,Tucano,2
2549,Norte,RO,Presidente Médici,1
2550,Nordeste,PE,Machados,1
2551,Sul,PR,Marilândia do Sul,1
2552,Nordeste,RN,Extremoz,2
2553,Sudeste,MG,Itumirim,3
2554,Norte,PA,Acará,1
2555,Nordeste,PE,Pesqueira,4
2556,Nordeste,PB,Mogeiro,1
2557,Sudeste,MG,Canaã,1
2558,Nordeste,BA,Seabra,4
2559,Sudeste,MG,Água Comprida,1
2560,Nordeste,BA,Utinga,2
2561,Sudeste,MG,Turvolândia,2
2562,Sudeste,MG,Itabirinha,1
2563,Sudeste,SP,Itapura,1
2564,Sudeste,MG,Minas Novas,2
2565,Centro-Oeste,MS,Rochedo,2
2566,Sudeste,MG,Congonhal,2
2567,Sudeste,RJ,Carapebus,3
2568,Sudeste,MG,Cruzília,1
2569,Sudeste,SP,Tanabi,3
2570,Sudeste,SP,Irapuã,3
2571,Sul,RS,Ibarama,1
2572,Nordeste,PE,Lagoa do Itaenga,2
2573,Sudeste,SP,Anhumas,1
2574,Sudeste,MG,Coronel Pacheco,1
2575,Sul,PR,Rondon,1
2576,Sudeste,MG,Igaratinga,1
2577,Sudeste,MG,Capitão Andrade,1
2578,Sudeste,MG,São Sebastião da Bela Vista,1
2579,Nordeste,BA,Elísio Medrado,2
2580,Nordeste,BA,Cachoeira,2
2581,Nordeste,PE,Ouricuri,2
2582,Nordeste,BA,Ibitiara,1
2583,Sudeste,MG,Arinos,1
